idx,id,name,brand,img_url,card_url,convenience,cafe,restaurant,oil,movie,mart,shopping,hospital,edu,tel,car,travel,transportation
0,2422,KB국민 노리2 체크카드(KB Pay),KB국민카드,https://d1c5n4ri2guedi.cloudfront.net/card/2422/card_img/27141/2422card.png,https://card-gorilla.com/card/detail/2422,"[일상] GS25, CU 5% 할인 구분 할인율 확인 사항 GS25, CU 5% - 전월 이용실적 20만원 이상 시 제공 - 건당 이용조건 없음 - 월 할인한도 : 2천원 (월 4만원 이용금액까지 할인) - 할인제외: 상품권/선불카드(선불전자지급수단 포함) 구입 및 충전 금액 - 본인회원 기준으로 월간 통합할인한도 내에서 혜택이 제공됩니다","[일상] 스타벅스, 커피빈 10% 할인 구분 할인율 확인 사항 스타벅스, 커피빈 10% - 전월 이용실적 조건 없음 - 건당 이용조건 없음 - 월 할인한도 : 3천원 (월 3만원 이용금액까지 할인) - 스타벅스는 사이렌오더 결제 포함 - 할인제외 : 상품권/선불카드(선불전자지급수단 포함) 구입 및 충전, 백화점, 대형마트, 철도·역사, 호텔 등에 입점한 가맹점 등 - 본인회원 기준으로 월간 통합할인한도 내에서 혜택이 제공됩니다",,,"[일상] CGV 4,000원 할인 구분 할인금액 확인 사항 CGV 4,000원 - 전월 이용실적 20만원 이상 시 제공 - 건당 1만원 이상 이용 시 제공 - 현장 결제, 공식 홈페이지 및 모바일(앱) 결제 시 제공 - 할인 제외: 상품권 구매 및 매점 이용금액 - 월 할인횟수: 2회 (월 할인한도 8천원 이내 제공) - 본인회원 기준으로 월간 통합할인한도 내에서 혜택이 제공됩니다",,,,,"[일상] SKT, KT, LG U+, Liiv M 2,500원 할인 구분 할인금액 확인 사항",,,
1,646,신한카드 Deep Dream 체크(미니언즈),신한카드,https://d1c5n4ri2guedi.cloudfront.net/card/646/card_img/21410/646card.png,https://card-gorilla.com/card/detail/646,,,,"주말(토,일) 전 주유소 리터당 40원 적립 - 전월(1일~말일) 20만원 이상 이용 시 제공 되며, 주말 주유소(업종)에서 당월 총 이용한 주유금액 20만원까지 리터당 40원 마이신한포인트 적립됩니다  - SK에너지가 통보한 휘발유 리터당 고시유가 기준으로 적립됩니다",,,,,,,,,
2,286,카카오페이 신한 체크카드,신한카드,https://d1c5n4ri2guedi.cloudfront.net/card/286/card_img/20508/286card.png,https://card-gorilla.com/card/detail/286,,,,,"CGV 영화 이용 시 최대 3천원 적립 - 카카오페이머니 적립 - 전월 이용금액 30만원 이상 시 제공 - 통합 적립한도 적용, 월 1회   *  CGV 서비스는 CGV 앱/홈페이지에서 직접 예매 및 극장 현장 결제 시에만 적용 됩니다 CGV 영화 이용 시 최대 3천원 적립 - 카카오페이머니 적립 - 전월 이용금액 30만원 이상 시 제공 - 통합 적립한도 적용, 월 1회   *  CGV 서비스는 CGV 앱/홈페이지에서 직접 예매 및 극장 현장 결제 시에만 적용 됩니다  단, 일부 CGV 극장 내 매점 이용금액이 극장 사정으로 서비스가 적용될 수 있으니 주의 바랍니다    * 국내이용 서비스가 중복일 경우 교통/통신/영화 서비스부터 적용되며, 중복 적립은 불가합니다    예) 통합 한도가 5천원인 고객이 카카오페이로 CGV영화를 1만5천원 예매했을 경우 3천원 적립",,,,,이동통신요금 자동 이체 시 3% 적립 - 카카오페이머니 적립,,,대중교통 3% 적립(버스/지하철) - 카카오페이머니 적립
3,348,노리체크카드,KB국민카드,https://d1c5n4ri2guedi.cloudfront.net/card/348/card_img/20581/348card.png,https://card-gorilla.com/card/detail/348,"GS25 5% 환급할인 - 건당 이용금액 1만원 이상 시, 건당 최대 이용금액 2만원까지 할인 적용(최대 할인금액 1,000원) - 최초 발급 후 사용등록일로부터 60일 까지는 월간 통합할인한도 1만원 이내에서 할인 제공됩니다",,"아웃백, VIPS 20% 환급할인 - 건당 이용금액 3만원 이상 시, 건당 최대 이용금액 5만원까지 할인 적용(최대 할인금액 10,000원)",,"CGV 35% 환급할인 - 건당 이용금액 1만원 이상 시, 건당 최대 이용금액 2만원까지 할인 적용(최대 할인금액 7,000원) - 제공조건 : 현장구매 및 CGV 홈페이지(www co kr)·CGV 앱 결제 - 할인제외 : 상품권 구매 / 매점 이용금액 - 최초 발급 후 사용등록일로부터 60일 까지는 월간 통합할인한도 1만원 이내에서 할인 제공됩니다",,,,,"이동통신요금 자동납부시 2,500원 환급할인 - 건당 이용금액  5만원 이상 시 2,500원 정액할인 (월 1회)",,,"대중교통(전국 버스·지하철) 10% 청구할인 - 교통이용금액 월 2만원까지 할인(최대 할인액 2,000원)"
4,2691,트래블러스 체크카드,KB국민카드,https://d1c5n4ri2guedi.cloudfront.net/card/2691/card_img/33455/2691card_2.png,https://card-gorilla.com/card/detail/2691,,,"[국내 혜택] 전국맛집 5,000원 할인 구분 할인내용 확인사항",,,,,,,,[국내 혜택] 주차장 500원 할인 구분 할인내용 확인사항,,
5,2626,네이버페이 머니카드,네이버페이,https://d1c5n4ri2guedi.cloudfront.net/card/2626/card_img/31677/2625card_1.png,https://card-gorilla.com/card/detail/2626,,,,,,,,,,,,"N트래블클럽 업그레이드 - 네이버 여행 멤버십 혜택! 항공, 호텔 할인・적립",
6,2321,모빌리언스카드,KG모빌리언스,https://d1c5n4ri2guedi.cloudfront.net/card/2321/card_img/23849/2321card.png,https://card-gorilla.com/card/detail/2321,"GS25, 이마트24 1","50% 뚜레쥬르, 이삭토스트, 쥬씨, 홍루이젠, 토프레소, 달콤커피, 커피마마퀸, 커피마마, 커피베이 3 50% 아티제, 이디야커피 2 50% 컴포즈커피 2 00% 투썸플레이스, 배스킨라빈스, 파리바게뜨, 던킨, 파스꾸찌, 파리크라상 ※ 브랜드 리스트는 변경될 수 있습니다",KFC 10% 즉시 할인 - 할인 조건: KFC 매장에서 실물카드로 결제 시,,,,모빌마켓 이용 시 2% 무제한 적립 - 적립 조건: 모빌리언스카드 APP 내 모빌마켓에서 상품 구매 시,,,KG모바일 알뜰폰 결합 시 최대 4.5% 혜택 - 혜택 조건: 모빌리언스카드 고객이 KG모바일(알뜰폰) 개통 시,,,
7,2604,토심이 첵첵 체크카드,KB국민카드,https://d1c5n4ri2guedi.cloudfront.net/card/2604/card_img/31223/2604card.png,https://card-gorilla.com/card/detail/2604,"CU편의점 2~4천원 환급할인 서비스 구분 건당 할인금액 및 영역별할인한도 1구간 (30만원 이상 60만원 미만) 2구간 (60만원 이상) 첵첵 편의점 할인 건당 할인금액 1천원 2천원 영역별 할인한도 2천원 4천원 - 이용금액 1만원 이상 시 할인 적용 - 실적조건: KB국민 토심이 첵첵 체크카드로 전월 30만원 이상 이용시 제공 (동일계열카드 첵첵, 위글위글 첵첵, 토심이 첵첵 실적 합산) - 실적유예기간 적용: 최초 카드 사용등록일로부터 다음달 말일까지 1구간 내에서 서비스 제공 - 상품권, 선불카드 구입(충전) 금액은 할인 제외","스타벅스(사이렌오더 포함) 2~4천원 환급할인 서비스 구분 건당 할인금액 및 영역별할인한도 1구간 (30만원 이상 60만원 미만) 2구간 (60만원 이상) 첵첵 커피 할인 건당 할인금액 1천원 2천원 영역별 할인한도 2천원 4천원 - 이용금액 1만원 이상 시 할인 적용 - 실적조건: KB국민 토심이 첵첵 체크카드로 전월 30만원 이상 이용시 제공 (동일계열카드 첵첵, 위글위글 첵첵, 토심이 첵첵 실적 합산) - 실적유예기간 적용: 최초 카드 사용등록일로부터 다음달 말일까지 1구간 내에서 서비스 제공 - 상품권, 선불카드 구입(충전) 금액은 할인 제외 - 백화점, 대형마트 등 일부 입점 매장 할인 제외 - 스타벅스 사이렌오더 이용금액 할인 제공",,,"CGV 2~4천원 환급할인 서비스 구분 건당 할인금액 및 영역별할인한도 1구간 (30만원 이상 60만원 미만) 2구간 (60만원 이상) 첵첵 영화 할인 건당 할인금액 1천원 2천원 영역별 할인한도 2천원 4천원 - 이용금액 1만원 이상 시 할인 적용 - 실적조건: KB국민 토심이 첵첵 체크카드로 전월 30만원 이상 이용시 제공 (동일계열카드 첵첵, 위글위글 첵첵, 토심이 첵첵 실적 합산) - 실적유예기간 적용: 최초 카드 사용등록일로부터 다음달 말일까지 1구간 내에서 서비스 제공 - 상품권, 선불카드 구입(충전) 금액은 할인 제외 - 인터넷 예매 시 직영 홈페이지, App 이용분만 할인 제공",,텐바이텐 2~4천원 환급할인 서비스 구분 건당 할인금액 및 영역별할인한도,,,,,,버스·지하철 2~4천원 청구할인 서비스 구분 건당 할인금액 및 영역별할인한도
8,584,우리카드 우리 K-패스 (COOKIE CHECK),우리카드,https://d1c5n4ri2guedi.cloudfront.net/card/584/card_img/33529/584card.png,https://card-gorilla.com/card/detail/584,,,,,,,,,,,,,K-패스 사업 지역 안내 시·도 해당지역
9,2423,노리2 체크카드(Global),KB국민카드,https://d1c5n4ri2guedi.cloudfront.net/card/2423/card_img/27142/2423card.png,https://card-gorilla.com/card/detail/2423,"[일상] GS25, CU 5% 할인 구분 할인율 확인 사항 GS25, CU 5% - 전월 이용실적 20만원 이상 시 제공 - 건당 이용조건 없음 - 월 할인한도 : 2천원 (월 4만원 이용금액까지 할인) - 할인제외: 상품권/선불카드(선불전자지급수단 포함) 구입 및 충전 금액 - 본인회원 기준으로 월간 통합할인한도 내에서 혜택이 제공됩니다","[일상] 스타벅스, 커피빈 10% 할인 구분 할인율 확인 사항 스타벅스, 커피빈 10% - 전월 이용실적 조건 없음 - 건당 이용조건 없음 - 월 할인한도 : 3천원 (월 3만원 이용금액까지 할인) - 스타벅스는 사이렌오더 결제 포함 - 할인제외 : 상품권/선불카드(선불전자지급수단 포함) 구입 및 충전, 백화점, 대형마트, 철도·역사, 호텔 등에 입점한 가맹점 등 - 본인회원 기준으로 월간 통합할인한도 내에서 혜택이 제공됩니다",,,"[일상] CGV 4,000원 할인 구분 할인금액 확인 사항 CGV 4,000원 - 전월 이용실적 20만원 이상 시 제공 - 건당 1만원 이상 이용 시 제공 - 현장 결제, 공식 홈페이지 및 모바일(앱) 결제 시 제공 - 할인 제외: 상품권 구매 및 매점 이용금액 - 월 할인횟수: 2회 (월 할인한도 8천원 이내 제공) - 본인회원 기준으로 월간 통합할인한도 내에서 혜택이 제공됩니다",,,,,"[일상] SKT, KT, LG U+, Liiv M 2,500원 할인 구분 할인금액 확인 사항",,,
