,id,name,brand,img_url,card_url,convenience,cafe,restaurant,oil,movie,mart,shopping,hospital,edu,tel,car,travel,transportation
0,2749,ONE 체크카드,케이뱅크,https://d1c5n4ri2guedi.cloudfront.net/card/2749/card_img/37664/2749card_2.png,https://card-gorilla.com/card/detail/2749,,,,,,,,,,,,,
1,2422,KB국민 노리2 체크카드(KB Pay),KB국민카드,https://d1c5n4ri2guedi.cloudfront.net/card/2422/card_img/27141/2422card.png,https://card-gorilla.com/card/detail/2422,"[일상] GS25, CU 5% 할인
구분 할인율 확인 사항
GS25, CU 5%
- 전월 이용실적 20만원 이상 시 제공
- 건당 이용조건 없음
- 월 할인한도 : 2천원 (월 4만원 이용금액까지 할인)
- 할인제외: 상품권/선불카드(선불전자지급수단 포함) 구입 및 충전 금액
- 본인회원 기준으로 월간 통합할인한도 내에서 혜택이 제공됩니다.","[일상] 스타벅스, 커피빈 10% 할인
구분 할인율 확인 사항
스타벅스, 커피빈 10%
- 전월 이용실적 조건 없음
- 건당 이용조건 없음
- 월 할인한도 : 3천원 (월 3만원 이용금액까지 할인)
- 스타벅스는 사이렌오더 결제 포함
- 할인제외 : 상품권/선불카드(선불전자지급수단 포함) 구입 및 충전, 백화점, 대형마트, 철도·역사, 호텔 등에 입점한 가맹점 등
- 본인회원 기준으로 월간 통합할인한도 내에서 혜택이 제공됩니다.",,,"[일상] CGV 4,000원 할인
구분 할인금액 확인 사항
CGV 4,000원
- 전월 이용실적 20만원 이상 시 제공
- 건당 1만원 이상 이용 시 제공
- 현장 결제, 공식 홈페이지 및 모바일(앱) 결제 시 제공
- 할인 제외: 상품권 구매 및 매점 이용금액
- 월 할인횟수: 2회 (월 할인한도 8천원 이내 제공)
- 본인회원 기준으로 월간 통합할인한도 내에서 혜택이 제공됩니다.",,,,,"[일상] SKT, KT, LG U+, Liiv M 2,500원 할인
구분 할인금액 확인 사항
SKT, KT, LG U+, Liiv M 2,500원
- 전월 이용실적 20만원 이상 시 제공
- 통신요금 5만원 이상 이용 시 제공
- 이동통신요금 자동이체 납부금액 기준 제공
- 월 할인횟수: 1회 (월 할인한도 2천5백원 이내 제공)
- 본인회원 기준으로 월간 통합할인한도 내에서 혜택이 제공됩니다.",,,
2,646,신한카드 Deep Dream 체크(미니언즈),신한카드,https://d1c5n4ri2guedi.cloudfront.net/card/646/card_img/21410/646card.png,https://card-gorilla.com/card/detail/646,,,,"주말(토,일) 전 주유소 리터당 40원 적립
- 전월(1일~말일) 20만원 이상 이용 시 제공 되며, 주말 주유소(업종)에서 당월 총 이용한 주유금액 20만원까지 리터당 40원 마이신한포인트 적립됩니다.
- SK에너지가 통보한 휘발유 리터당 고시유가 기준으로 적립됩니다.
  * 모두드림 서비스와 중복 적립 불가합니다.
  * 경유와 등유는 휘발유가 기준으로 환산 적립됩니다.(LPG 충전거래 제외)
- 신규 발급 회원의 경우 카드사용 등록월의 익월 말(등록월+1개월)까지 전월 이용조건 충족여부와 관계없이 주유 적립 서비스가 적용됩니다.",,,,,,,,,
3,286,카카오페이 신한 체크카드,신한카드,https://d1c5n4ri2guedi.cloudfront.net/card/286/card_img/20508/286card.png,https://card-gorilla.com/card/detail/286,,,,,"CGV 영화 이용 시 최대 3천원 적립
- 카카오페이머니 적립
- 전월 이용금액 30만원 이상 시 제공
- 통합 적립한도 적용, 월 1회
  *  CGV 서비스는 CGV 앱/홈페이지에서 직접 예매 및 극장 현장 결제 시에만 적용 됩니다. 단, 일부 CGV 극장 내 매점 이용금액이 극장 사정으로 서비스가 적용될 수 있으니 주의 바랍니다.

통합 적립 한도
전월 이용금액
30만원 이상
50만원 미만
50만원 이상
70만원 미만
70만원 이상
100만원 미만
100만원 이상
카카오페이 결제
월간 적립 한도
1만원
통합 적립한도 5천원 7천원 1만원 1만 3천원
  * 교통, 통신, 영화 관련 서비스는 전월(1일~말일) 카카오페이 신한 체크카드를 30만원 이상 이용 시 전월 이용 구간에 따라 통합 적립 한도가 제공됩니다.
  * 국내이용 서비스가 중복일 경우 교통/통신/영화 서비스부터 적용되며, 중복 적립은 불가합니다.
  예) 통합 한도가 5천원인 고객이 카카오페이로 CGV영화를 1만5천원 예매했을 경우 3천원 적립. 단, 전월 실적/통합 적립 한도 등의 사유로 영화 서비스가 적용되지 않는 경우에는 카카오 페이 월간 적립한도 내에서 적용",,,,,"이동통신요금 자동 이체 시 3% 적립
- 카카오페이머니 적립
- 건당 5만원이상 청구 시
- 전월 이용금액 30만원 이상 시 제공
- 통합 적립한도 적용, 월 최대 5천원까지 적립
  * 약정금액 대납, 지점을 통한 월납, 알뜰폰 적립 제외

통합 적립 한도
전월 이용금액
30만원 이상
50만원 미만
50만원 이상
70만원 미만
70만원 이상
100만원 미만
100만원 이상
카카오페이 결제
월간 적립 한도
1만원
통합 적립한도 5천원 7천원 1만원 1만 3천원
  * 교통, 통신, 영화 관련 서비스는 전월(1일~말일) 카카오페이 신한 체크카드를 30만원 이상 이용 시 전월 이용 구간에 따라 통합 적립 한도가 제공됩니다.
  * 국내이용 서비스가 중복일 경우 교통/통신/영화 서비스부터 적용되며, 중복 적립은 불가합니다.
  예) 통합 한도가 5천원인 고객이 카카오페이로 CGV영화를 1만5천원 예매했을 경우 3천원 적립. 단, 전월 실적/통합 적립 한도 등의 사유로 영화 서비스가 적용되지 않는 경우에는 카카오 페이 월간 적립한도 내에서 적용",,,"대중교통 3% 적립(버스/지하철)
- 카카오페이머니 적립
- 전월 이용금액 30만원 이상 시 제공
- 통합 적립한도 적용, 월 최대 5천원까지 적립

통합 적립 한도
전월 이용금액
30만원 이상
50만원 미만
50만원 이상
70만원 미만
70만원 이상
100만원 미만
100만원 이상
카카오페이 결제
월간 적립 한도
1만원
통합 적립한도 5천원 7천원 1만원 1만 3천원
  * 교통, 통신, 영화 관련 서비스는 전월(1일~말일) 카카오페이 신한 체크카드를 30만원 이상 이용 시 전월 이용 구간에 따라 통합 적립 한도가 제공됩니다.
  * 국내이용 서비스가 중복일 경우 교통/통신/영화 서비스부터 적용되며, 중복 적립은 불가합니다.
  예) 통합 한도가 5천원인 고객이 카카오페이로 CGV영화를 1만5천원 예매했을 경우 3천원 적립. 단, 전월 실적/통합 적립 한도 등의 사유로 영화 서비스가 적용되지 않는 경우에는 카카오 페이 월간 적립한도 내에서 적용"
4,2432,네이버페이 머니 하나 체크카드,하나카드,https://d1c5n4ri2guedi.cloudfront.net/card/2432/card_img/27295/2432card.png,https://card-gorilla.com/card/detail/2432,,,,,,,,,,,,,
5,348,노리체크카드,KB국민카드,https://d1c5n4ri2guedi.cloudfront.net/card/348/card_img/20581/348card.png,https://card-gorilla.com/card/detail/348,"GS25 5% 환급할인
- 건당 이용금액 1만원 이상 시, 건당 최대 이용금액 2만원까지 할인 적용(최대 할인금액 1,000원)
- 최초 발급 후 사용등록일로부터 60일 까지는 월간 통합할인한도 1만원 이내에서 할인 제공됩니다.",,"아웃백, VIPS 20% 환급할인
- 건당 이용금액 3만원 이상 시, 건당 최대 이용금액 5만원까지 할인 적용(최대 할인금액 10,000원)
- 할인제외 : 상품권 구매 / 백화점·대형할인점 입점 점포
- 최초 발급 후 사용등록일로부터 60일 까지는 월간 통합할인한도 1만원 이내에서 할인 제공됩니다.

스타벅스 20% 환급할인
- 건당 이용금액 1만원 이상 시, 건당 최대 이용금액 2만원까지 할인 적용(최대 할인금액 4,000원)
- 할인제외 : 상품권 구매 및 선불카드 구입·충전금액
- 백화점/대형마트 등에 입점된 일부 매장은 할인 적용에서 제외
- 최초 발급 후 사용등록일로부터 60일 까지는 월간 통합할인한도 1만원 이내에서 할인 제공됩니다.",,"CGV 35% 환급할인
- 건당 이용금액 1만원 이상 시, 건당 최대 이용금액 2만원까지 할인 적용(최대 할인금액 7,000원)
- 제공조건 : 현장구매 및 CGV 홈페이지(www.cgv.co.kr)·CGV 앱 결제
- 할인제외 : 상품권 구매 / 매점 이용금액
- 최초 발급 후 사용등록일로부터 60일 까지는 월간 통합할인한도 1만원 이내에서 할인 제공됩니다.",,,,,"이동통신요금 자동납부시 2,500원 환급할인
- 건당 이용금액  5만원 이상 시 2,500원 정액할인 (월 1회)
- 제공조건 : 해당 카드로 3대 이동통신사(SKT, KT, LG U+) 자동이체 등록
- 할인 제외 : 유무선 통신요금 통합 청구금액
- 실적조건 : 전월 이용실적 30만원 이상",,,"대중교통(전국 버스·지하철) 10% 청구할인
- 교통이용금액 월 2만원까지 할인(최대 할인액 2,000원)
- 대중교통 할인 대상 : RF교통기관 업종(KB국민카드 가맹점 업종 기준)
- 실적 조건 : 전월 이용실적 30만원 이상
- 실제 카드이용일이 아닌 이메일 이용내역서상 기재된 이용일 기준으로 할인 적용 됩니다."
6,2691,트래블러스 체크카드,KB국민카드,https://d1c5n4ri2guedi.cloudfront.net/card/2691/card_img/33455/2691card_2.png,https://card-gorilla.com/card/detail/2691,,"[국내 혜택] 빵집 2,000원 할인
구분 할인내용 확인사항
빵집 할인
제과아이스크림 업종에서 1만원 이상 이용 시 2,000원 환급할인
- 전월 이용실적 20만원 이상 시 혜택이 제공됩니다.
- 매출건당 1만원 이상 시 월 1회 (2천원 이내) 제공됩니다.
- KB국민카드의 가맹점 업종코드(제휴업체코드) 상 할인대상 가맹점으로 등록 된 경우에 한하여 혜택이 제공됩니다.(앱 또는 온라인 주문 할인 제외)
- 자세한 사항은 상품 안내장(약관)을 확인해주세요.","[국내 혜택] 전국맛집 5,000원 할인
구분 할인내용 확인사항
전국맛집 할인
푸딘코 선정 전국맛집 2만원 이상 이용 시 5,000원 환급할인
- 전월 이용실적이 없이 혜택이 제공됩니다.
- 매출건당 2만원 이상 시 월 1회 (5천원 이내) 제공됩니다.
- 전국맛집 할인가맹점은 푸딘코(Foodinko) 기준에 따라 선정되며, 변경될 수 있습니다. 전국맛집 할인 가맹점은 푸딘코 채널(앱, 홈페이지, SNS 등)에서 확인 가능합니다.
- KB국민카드의 가맹점 업종코드(제휴업체코드) 상 할인대상 가맹점으로 등록 된 경우에 한하여 혜택이 제공됩니다.
- 앱 또는 온라인 이용 시 할인 제외
- 더 많은 맛집이 궁금하다면, 푸딘코 앱 다운로드
- 자세한 사항은 상품 안내장(약관)을 확인해주세요.",,,,,,,,"[국내 혜택] 주차장 500원 할인
구분 할인내용 확인사항
주차장 할인
주차장 업종에서 1천원 이상 이용 시 500원 환급할인
- 전월 이용실적 20만원 이상 시 혜택이 제공됩니다.
- 매출건당 1천원 이상 시 월 6회 (3천원 이내) 제공됩니다.
- KB국민카드의 가맹점 업종코드(제휴업체코드) 상 할인대상 가맹점으로 등록 된 경우에 한하여 혜택이 제공됩니다.
- 앱 또는 온라인 이용 시 할인 제외
- 자세한 사항은 상품 안내장(약관)을 확인해주세요.",,
7,2626,네이버페이 머니카드,네이버페이,https://d1c5n4ri2guedi.cloudfront.net/card/2626/card_img/31677/2625card_1.png,https://card-gorilla.com/card/detail/2626,,,,,,,,,,,,"N트래블클럽 업그레이드
- 네이버 여행 멤버십 혜택! 항공, 호텔 할인・적립
- 3개월 간 스마트 등급으로 UP
- 여행 제휴사 추가 혜택",
8,2321,모빌리언스카드,KG모빌리언스,https://d1c5n4ri2guedi.cloudfront.net/card/2321/card_img/23849/2321card.png,https://card-gorilla.com/card/detail/2321,"GS25, 이마트24 1.5% 적립
- 적립 조건: 모빌리언스카드 APP 내 바코드 결제 시
- 적립률: 1.5%
- 적립 실적: 조건 없음
- 적립 한도: 제한 없음","카페/베이커리 브랜드 최대 7.5% 적립
- 적립 조건: 모빌리언스카드 APP 내 바코드 결제 시
- 적립 실적: 조건 없음
- 적립 한도: 제한 없음
적립율 구분
7.50% 매머드커피
6.00% 폴바셋
5.50% 텐퍼센트커피
4.50% 할리스커피, 메가MGC, 노티드, 달콤왕가탕후루, 엔제리너스, 설빙, 크리스피크림도넛
3.50% 뚜레쥬르, 이삭토스트, 쥬씨, 홍루이젠, 토프레소, 달콤커피, 커피마마퀸, 커피마마, 커피베이
3.50% 아티제, 이디야커피
2.50% 컴포즈커피
2.00% 투썸플레이스, 배스킨라빈스, 파리바게뜨, 던킨, 파스꾸찌, 파리크라상
※ 브랜드 리스트는 변경될 수 있습니다.","KFC 10% 즉시 할인
- 할인 조건: KFC 매장에서 실물카드로 결제 시
- 할인율: 10%
- 적립 실적: 조건 없음
- 적립 한도: 제한 없음

※ 결제 적립 유의사항
- 적립은 모빌포인트로 지급됩니다.
- 적립 받은 모빌포인트의 유효기간은 1년이며, 이 후 자동 소멸됩니다.
- 결제 취소 시 적립된 포인트는 전액 회수됩니다.
- 결제 부분취소 시 적립된 포인트는 취소 금액에 비례하여 회수됩니다.
- 적립된 포인트는 모빌포인트 정책을 따릅니다.
- 기타 비정상적인 적립 행위 발견 시, 포인트 회수 등의 조치를 취할 수 있습니다.
- 본 혜택은 시기별 모빌리언스카드의 정책에 따라 변경될 수 있습니다.

 ※ 결제 할인 유의사항
- 결제 할인은 카드 승인과 동시에 할인된 금액으로 결제됩니다.
- KFC 일부 특수 매장의 경우 할인이 불가할 수 있습니다.
- KFC 매장 내 키오스크 이용시 ‘신용카드’ 선택 후 결제 시에만 할인 가능합니다.
- 본 혜택은 모빌리언스카드의 사정에 따라 변경될 수 있습니다.",,,,"모빌마켓 이용 시 2% 무제한 적립
- 적립 조건: 모빌리언스카드 APP 내 모빌마켓에서 상품 구매 시
- 적립율: 2%
- 적립 실적: 조건 없음
- 적립 한도: 제한 없음
- 계좌연결 충전 후 결제 혜택과 중복 적용 불가",,,"KG모바일 알뜰폰 결합 시 최대 4.5% 혜택
- 혜택 조건: 모빌리언스카드 고객이 KG모바일(알뜰폰) 개통 시
구분 혜택율 확인사항
휴대폰결제 충전 수수료 페이백 3.5% - 자세한 유의사항은 KG모바일 또는 모빌리언스카드 이벤트 페이지에서 꼭 확인 해주시기 바랍니다.
사용 금액 페이백 1.0%
모빌카드 요금제 가입 시 3,000P
※모든 페이백은 모빌리언스카드 포인트로 적립됩니다.",,,
9,2269,토스뱅크카드,토스뱅크,https://d1c5n4ri2guedi.cloudfront.net/card/2269/card_img/20697/2269card.png,https://card-gorilla.com/card/detail/2269,,,,,,,,,,,,,
