idx,id,name,brand,img_url,card_url,convenience,cafe,restaurant,oil,movie,mart,shopping,hospital,edu,tel,car,travel,transportation
0,13,신한카드 Mr.Life,신한카드,https://d1c5n4ri2guedi.cloudfront.net/card/13/card_img/28201/13card.png,https://card-gorilla.com/card/detail/13,TIME 할인서비스 10% 할인  편의점 10% 할인 - 편의점 업종  - 서비스 영역별 각각 일 1회 할인 적용 - 1회 이용 금액 1만원까지 할인 적용 (1회 최대 1천원 할인) - 월 5회 할인 적용  TIME 할인서비스 할인한도안내 - 전월실적 30만원~50만원 : 1만원 - 전월실적 50만원 ~100만원 : 2만원 - 전월실적 100만원 이상 : 3만원   유의사항 - 서비스 대상 거래건 중 신한카드 전표 매입 순서대로 결제일 할인이 적용됩니다,,오후 9시 ~ 오전 9시까지 Night 할인서비스 10% 할인 식음료 10% 할인,"주말할인서비스 4대 정유사 리터당 60원 할인 - SK에너지/GS칼텍스/에이치디현대오일뱅크/S-Oil - 휘발유, 등유, 경유(LPG 제외) - 일 1회 - 1회 이용 금액 10만원까지 할인 적용 - 월 이용 금액 30만원까지 할인 적용  주말 할인서비스 할인한도안내 - 전월실적 30만원~50만원 : 3천원 - 전월실적 50만원 ~100만원 : 7천원 - 전월실적 100만원 이상 : 1만원   유의사항 - 서비스 대상 거래건 중 신한카드 전표 매입 순서대로 결제일 할인이 적용됩니다",,"주말할인서비스 3대 마트 10% 할인 - 이마트, 롯데마트, 홈플러스 - 기업형 슈퍼마켓, 온라인몰 포함 - 상품권 제외 - 일 1회 할인 적용 - 1회 이용 금액 5만원까지 할인 적용 (1회 최대 5천원 할인)  주말 할인서비스 할인한도안내 - 전월실적 30만원~50만원 : 3천원 - 전월실적 50만원 ~100만원 : 7천원 - 전월실적 100만원 이상 : 1만원   유의사항 - 서비스 대상 거래건 중 신한카드 전표 매입 순서대로 결제일 할인이 적용됩니다",건강한 라이프스타일 푸드 인테이크몰(www.shopintake.com) 결제 시 20% 할인 - 전월 이용금액 (일시불+할부) 유실적 고객님께 월 4회까지 20% 할인이 제공됩니다.,TIME 할인서비스 10% 할인  병원/약국업종 (동물병원 제외) 10% 할인,,,,,
1,51,삼성카드 taptap O,삼성카드,https://d1c5n4ri2guedi.cloudfront.net/card/51/card_img/37691/51card.png,https://card-gorilla.com/card/detail/51,,,,,"서비스안내 CGV 및 롯데시네마 영화 티켓 10,000원 이상 결제 시 5,000원 결제일할인(청구할인)  이용조건 - 전월 일시불 및 할부 이용금액 30만원 이상 시 제공 - 발급월+1개월까지는 전월 이용금액에 관계없이 제공(연 12회 이용한도에 포함) - 통합 일 1회, 월 2회, 연 12회 제공(연 기준 : 1",,,,,서비스안내 SKT·KT·LG U+ 이동통신요금 자동납부 시 10% 결제일할인(청구할인),,,서비스안내 대중교통·택시 10% 결제일할인(청구할인)
2,49,삼성카드 & MILEAGE PLATINUM (스카이패스),삼성카드,https://d1c5n4ri2guedi.cloudfront.net/card/49/card_img/27705/49card.png,https://card-gorilla.com/card/detail/49,"편의점 이용금액 스카이패스 마일리지 특별적립 서비스 서비스안내 - 편의점 이용금액 1,000원당 스카이패스 2 마일리지 특별적립  대상점 - CU, 세븐일레븐, GS25, 미니스톱 등  적립기준 - 결제건당 삼성카드 접수금액 기준으로 마일리지가 적립되며, 결제금액을 1,000원으로 나눈 후 소수점 이하는 반올림하여 적립  이용조건 - 특별 적립은 '기본 1 마일리지 + 추가 1 마일리지'의 형태로 적립","커피 이용금액 스카이패스 마일리지 특별적립 서비스 서비스안내 - 커피 이용금액 1,000원당 스카이패스 2 마일리지 특별적립  대상점 - 스타벅스, 커피빈, 카페베네, 할리스 등  적립기준 - 결제건당 삼성카드 접수금액 기준으로 마일리지가 적립되며, 결제금액을 1,000원으로 나눈 후 소수점 이하는 반올림하여 적립  이용조건 - 특별 적립은 '기본 1 마일리지 + 추가 1 마일리지'의 형태로 적립",,"주유 이용금액 스카이패스 마일리지 특별적립 서비스 서비스안내 - 주유 이용금액 1,000원당 스카이패스 2 마일리지 특별적립  대상점 - SK에너지, GS칼텍스, 현대오일뱅크, S-OIL, 알뜰주유소 및 LPG충전소 등  적립기준 - 결제건당 삼성카드 접수금액 기준으로 마일리지가 적립되며, 결제금액을 1,000원으로 나눈 후 소수점 이하는 반올림하여 적립  이용조건 - 특별 적립은 '기본 1 마일리지 + 추가 1 마일리지'의 형태로 적립",,,백화점 이용금액 스카이패스 마일리지 특별적립 서비스 서비스안내,,,,,,
3,2441,KB국민 My WE:SH 카드,KB국민카드,https://d1c5n4ri2guedi.cloudfront.net/card/2441/card_img/37123/2441card_3.png,https://card-gorilla.com/card/detail/2441,,,"음식점, 편의점 10% 할인 - 음식점(한식, 일식, 중식, 양식, 뷔페, 패밀리레스토랑, 일반음식점 업종), 편의점(GS25, CU)",,,,,,,"이동통신요금 10% 할인 - SKT, KT, LG U+, Liiv M 이동통신 자동납부 요금",,,
4,2261,LOCA LIKIT 1.2,롯데카드,https://d1c5n4ri2guedi.cloudfront.net/card/2261/card_img/21011/2261card.png,https://card-gorilla.com/card/detail/2261,,,,,,,온라인 1.5% 결제일 할인 - 실적조건 및 할인한도 없이 혜택을 제공합니다.,,,,,,
5,2346,BC 바로 클리어 플러스,BC 바로카드,https://d1c5n4ri2guedi.cloudfront.net/card/2346/card_img/32523/2346card.png,https://card-gorilla.com/card/detail/2346,"[라이프스타일 할인 10%] 편의점 10% 할인 - CU, GS25, 이마트24, 세븐일레븐 * 현장 결제건에 한함 (온라인 결제건 제외) ※ 전월실적과 할인한도는 하단의 유의사항을 통해 확인하여 주시기 바랍니다",,[매일 할인 7%] 점심식사 7% 할인,,,,[라이프스타일 할인 10%] 온라인쇼핑 10% 할인,,,[라이프스타일 할인 10%] 통신 10% 할인,,,[매일 할인 7%] 대중교통 7% 할인
6,2657,JADE Classic,하나카드,https://d1c5n4ri2guedi.cloudfront.net/card/2657/card_img/32434/2657card.png,https://card-gorilla.com/card/detail/2657,,"커피 이용금액 50% 하나머니 적립 제공 - 지난달 실적 50만원 이상, 월 적립 한도 5천 하나머니 영역 적립 대상 가맹점 적립률 적립 한도 커피 스타벅스 50% 5천 하나머니 - 스타벅스 오프라인 결제, 공식앱 또는 공식 홈페이지를 통한 주문 및 결제에 한하여 서비스가 제공되며, 별개의 배달앱 혹은 식당 예약앱을 통한 결제는 서비스 제외됨 - 대형시설물(백화점, 할인점, 아울렛, 쇼핑몰, 휴게소, 공항, 호텔, 리조트, 역사, 마트) 입점 점포 및 임대 매장은 서비스 제외됨",,,,,,,,,,,
7,39,신한카드 Deep Oil,신한카드,https://d1c5n4ri2guedi.cloudfront.net/card/39/card_img/31864/39card.png,https://card-gorilla.com/card/detail/39,"[편의점] - GS25, CU 5% 결제일 할인  생활서비스 유의 사항 - 생활서비스는 신한카드 Deep Oil 전월 이용금액 (1일~말일, 일시불+할부, 모든 주유소 주유 및 LPG 이용금액 제외)이 30만원 이상인 경우 제공됩니다","[커피] - 스타벅스, 이디야 5% 결제일 할인 - 상품권 구입, 선불카드 충전은 할인 제외됩니다",,"4개의 정유사 (GS칼텍스, SK에너지, S-OIL, 에이치디현대오일뱅크) 중 직접 고른 1개 정유사 주유 이용금액 10% 결제일 할인 - 정유사 선택은 1곳만 가능하며 연 1회 (1월~12월) 변경 가능합니다 4개의 정유사 (GS칼텍스, SK에너지, S-OIL, 에이치디현대오일뱅크) 중 직접 고른 1개 정유사 주유 이용금액 10% 결제일 할인 - 정유사 선택은 1곳만 가능하며 연 1회 (1월~12월) 변경 가능합니다  - 정유사 미 선택시에는 GS칼텍스가 선택됩니다","- 롯데시네마 영화관 현장 및 롯데시네마 홈페이지, 모바일App(공식App) 결제건에 한하여 제공됩니다 - 롯데시네마 영화관 현장 및 롯데시네마 홈페이지, 모바일App(공식App) 결제건에 한하여 제공됩니다  - 롯데시네마 일반관 상영 영화의 온라인/현장 예매 시 월 제공횟수 한도 내 1일 1회에 한하여 할인 제공됩니다",,,,,,[정비소] SpeedMate - 스피드메이트 이용금액 10% 결제일 할인,,
8,2376,삼성 iD SIMPLE 카드,삼성카드,https://d1c5n4ri2guedi.cloudfront.net/card/2376/card_img/27725/2376card.png,https://card-gorilla.com/card/detail/2376,,,,,"영화 티켓 건별 10,000원 이상 결제 시 3,000원 결제일할인 - 업종: 영화 - 할인 대상: CGV, 롯데시네마, 메가박스 - 통합 월 1회 제공 - 전월 이용금액 30만원 이상 시 제공 - 발급월 +1개월까지는 전월 이용금액 30만원 미만 시에도 제공 - 오프라인 결제 및 공식 홈페이지·앱을 통한 결제건에 한함",,온라인쇼핑몰 멤버십 정기결제 시 50% 결제일할인 -업종: 온라인쇼핑몰 멤버십,,,,,,
9,2330,LOCA 365 카드,롯데카드,https://d1c5n4ri2guedi.cloudfront.net/card/2330/card_img/24131/2330card.png,https://card-gorilla.com/card/detail/2330,,,,,,,,,,"SKT, KT, LG U+ 10% 할인 - 이동통신요금 자동납부 건만 혜택이 제공되며, 인터넷, TV 등과 결합상품 및 알뜰폰 이용금액은 혜택이 제공되지 않습니다.",,,"대중교통 10% 할인 - 지하철, 시내버스 이용 건만 혜택이 제공되며 택시, 고속버스, 시외버스 이용금액은 혜택이 제공되지 않습니다."
