id,name,brand,img_url,card_url,convenience,cafe,restaurant,oil,movie,mart,shopping,hospital,edu,tel,car,travel,transportation
13,신한카드 Mr.Life,신한카드,https://d1c5n4ri2guedi.cloudfront.net/card/13/card_img/28201/13card.png,https://card-gorilla.com/card/detail/13,"TIME 할인서비스 10% 할인 
편의점 10% 할인
- 편의점 업종 
- 서비스 영역별 각각 일 1회 할인 적용
- 1회 이용 금액 1만원까지 할인 적용 (1회 최대 1천원 할인)
- 월 5회 할인 적용

TIME 할인서비스 할인한도안내
- 전월실적 30만원~50만원 : 1만원
- 전월실적 50만원 ~100만원 : 2만원
- 전월실적 100만원 이상 : 3만원 

유의사항
- 서비스 대상 거래건 중 신한카드 전표 매입 순서대로 결제일 할인이 적용됩니다.
- TIME 할인서비스는 전월 이용금액에 따라 제공된 월 할인 한도 내에서 서비스가 제공됩니다.
- 신규 발급 회원에 대해서는 카드사용 등록월의 익월말(등록월+1개월)까지 1만원의 할인한도가 제공됩니다.
- 편의점, 병원/약국, 세탁소, 식음료는 신한카드 가맹점 업종 기준으로 할인이 제공됩니다.
- Time 할인서비스는 주중/주말 상관없이 제공되는 서비스이며, Night Time 할인서비스는 승인시간 기준으로 오후 9시부터 오전 9시까지 제공됩니다.
- 병원/약국 10% 할인서비스 대상 가맹점에서 동물병원은 제외되며, 치과/한의원은 포함 제공됩니다.
- 티켓몬스터, 위메프, 쿠팡 사이트 직접 접속 시 혹은 대상가맹점 앱을 통해서 접속 시에만 할인이 적용됩니다.
- 전월 이용실적은 일시불+할부 금액 기준이며 (전월 할인거래 실적 포함) 교통이용금액은 전전월 이용금액 기준, 해외이용금액은 매입일자를 기준으로 적용됩니다.
- 월 기준 : 매월 1일 ~ 말일",,"오후 9시 ~ 오전 9시까지 Night 할인서비스 10% 할인
식음료 10% 할인
- 한식, 양식, 일식, 중식, 뷔페, 일반대중음식, 패스트푸드, 커피전문점 업종
- 서비스 영역별 각각 일 1회 할인 적용
- 1회 이용 금액 1만원까지 할인 적용 (1회 최대 1천원 할인)
- 월 10회 할인 적용

TIME 할인서비스 할인한도안내
- 전월실적 30만원~50만원 : 1만원
- 전월실적 50만원 ~100만원 : 2만원
- 전월실적 100만원 이상 : 3만원 

유의사항
- 서비스 대상 거래건 중 신한카드 전표 매입 순서대로 결제일 할인이 적용됩니다.
- TIME 할인서비스는 전월 이용금액에 따라 제공된 월 할인 한도 내에서 서비스가 제공됩니다.
- 신규 발급 회원에 대해서는 카드사용 등록월의 익월말(등록월+1개월)까지 1만원의 할인한도가 제공됩니다.
- 편의점, 병원/약국, 세탁소, 식음료는 신한카드 가맹점 업종 기준으로 할인이 제공됩니다.
- Time 할인서비스는 주중/주말 상관없이 제공되는 서비스이며, Night Time 할인서비스는 승인시간 기준으로 오후 9시부터 오전 9시까지 제공됩니다.
- 병원/약국 10% 할인서비스 대상 가맹점에서 동물병원은 제외되며, 치과/한의원은 포함 제공됩니다.
- 티켓몬스터, 위메프, 쿠팡 사이트 직접 접속 시 혹은 대상가맹점 앱을 통해서 접속 시에만 할인이 적용됩니다.
- 전월 이용실적은 일시불+할부 금액 기준이며 (전월 할인거래 실적 포함) 교통이용금액은 전전월 이용금액 기준, 해외이용금액은 매입일자를 기준으로 적용됩니다.
- 월 기준 : 매월 1일 ~ 말일","주말할인서비스
4대 정유사 리터당 60원 할인
- SK에너지/GS칼텍스/에이치디현대오일뱅크/S-Oil
- 휘발유, 등유, 경유(LPG 제외)
- 일 1회
- 1회 이용 금액 10만원까지 할인 적용
- 월 이용 금액 30만원까지 할인 적용

주말 할인서비스 할인한도안내
- 전월실적 30만원~50만원 : 3천원
- 전월실적 50만원 ~100만원 : 7천원
- 전월실적 100만원 이상 : 1만원 

유의사항
- 서비스 대상 거래건 중 신한카드 전표 매입 순서대로 결제일 할인이 적용됩니다.
- 주말 할인서비스는 전월 이용금액에 따라 제공된 월 할인 한도 내에서 서비스가 제공됩니다.
- 신규 발급 회원에 대해서는 카드사용 등록월의 익월말(등록월+1개월)까지 3천원의 할인한도가 제공됩니다.
- 주말 할인서비스는 “토요일/일요일”에 해당되며 토요일/일요일 외 공휴일은 해당되지 않습니다.
- 정유사 공시 기준 휘발유가로 적용되어 할인되며, 등유/경유 거래도 휘발유가 기준으로 환산하여 서비스가 제공됩니다.
- 각 주유소別 유가차이 및 유류에 따라 할인금액 차이가 발생할 수 있습니다.
- 전월 이용실적은 일시불+할부 금액 기준이며 (전월 할인거래 실적 포함) 교통이용금액은 전전월 이용금액 기준, 해외이용금액은 매입일자를 기준으로 적용됩니다.
- 월 기준 : 매월 1일 ~ 말일",,"주말할인서비스
3대 마트 10% 할인
- 이마트, 롯데마트, 홈플러스
- 기업형 슈퍼마켓, 온라인몰 포함
- 상품권 제외
- 일 1회 할인 적용
- 1회 이용 금액 5만원까지 할인 적용 (1회 최대 5천원 할인)

주말 할인서비스 할인한도안내
- 전월실적 30만원~50만원 : 3천원
- 전월실적 50만원 ~100만원 : 7천원
- 전월실적 100만원 이상 : 1만원 

유의사항
- 서비스 대상 거래건 중 신한카드 전표 매입 순서대로 결제일 할인이 적용됩니다.
- 주말 할인서비스는 전월 이용금액에 따라 제공된 월 할인 한도 내에서 서비스가 제공됩니다.
- 신규 발급 회원에 대해서는 카드사용 등록월의 익월말(등록월+1개월)까지 3천원의 할인한도가 제공됩니다.
- 주말 할인서비스는 “토요일/일요일”에 해당되며 토요일/일요일 외 공휴일은 해당되지 않습니다.
- 정유사 공시 기준 휘발유가로 적용되어 할인되며, 등유/경유 거래도 휘발유가 기준으로 환산하여 서비스가 제공됩니다.
- 각 주유소別 유가차이 및 유류에 따라 할인금액 차이가 발생할 수 있습니다.
- 전월 이용실적은 일시불+할부 금액 기준이며 (전월 할인거래 실적 포함) 교통이용금액은 전전월 이용금액 기준, 해외이용금액은 매입일자를 기준으로 적용됩니다.
- 월 기준 : 매월 1일 ~ 말일","건강한 라이프스타일 푸드 인테이크몰(www.shopintake.com) 결제 시 20% 할인
- 전월 이용금액 (일시불+할부) 유실적 고객님께 월 4회까지 20% 할인이 제공됩니다.
- 신규 발급 회원에 대해서는 카드사용 등록월의 익월말(등록월+1개월)까지 실적과 관계없이 할인이 제공됩니다.
- 인테이크몰 직접 접속 시에만 할인이 적용됩니다.
- <결제수단 선택> 화면에서 ""신한 Mr.Life 카드""를 선택하셔야 할인 적용이 됩니다. (일반 결제나 간편 결제로 진행하는 경우 할인 적용 불가)
- 월 기준 : 매월 1일 ~ 말일","TIME 할인서비스 10% 할인 
병원/약국업종 (동물병원 제외) 10% 할인
- 서비스 영역별 각각 일 1회 할인 적용
- 1회 이용 금액 1만원까지 할인 적용 (1회 최대 1천원 할인)
- 월 5회 할인 적용

TIME 할인서비스 할인한도안내
- 전월실적 30만원~50만원 : 1만원
- 전월실적 50만원 ~100만원 : 2만원
- 전월실적 100만원 이상 : 3만원 

유의사항
- 서비스 대상 거래건 중 신한카드 전표 매입 순서대로 결제일 할인이 적용됩니다.
- TIME 할인서비스는 전월 이용금액에 따라 제공된 월 할인 한도 내에서 서비스가 제공됩니다.
- 신규 발급 회원에 대해서는 카드사용 등록월의 익월말(등록월+1개월)까지 1만원의 할인한도가 제공됩니다.
- 편의점, 병원/약국, 세탁소, 식음료는 신한카드 가맹점 업종 기준으로 할인이 제공됩니다.
- Time 할인서비스는 주중/주말 상관없이 제공되는 서비스이며, Night Time 할인서비스는 승인시간 기준으로 오후 9시부터 오전 9시까지 제공됩니다.
- 병원/약국 10% 할인서비스 대상 가맹점에서 동물병원은 제외되며, 치과/한의원은 포함 제공됩니다.
- 티켓몬스터, 위메프, 쿠팡 사이트 직접 접속 시 혹은 대상가맹점 앱을 통해서 접속 시에만 할인이 적용됩니다.
- 전월 이용실적은 일시불+할부 금액 기준이며 (전월 할인거래 실적 포함) 교통이용금액은 전전월 이용금액 기준, 해외이용금액은 매입일자를 기준으로 적용됩니다.
- 월 기준 : 매월 1일 ~ 말일",,,,,
51,삼성카드 taptap O,삼성카드,https://d1c5n4ri2guedi.cloudfront.net/card/51/card_img/37691/51card.png,https://card-gorilla.com/card/detail/51,,,,,"서비스안내
CGV 및 롯데시네마 영화 티켓 10,000원 이상 결제 시 5,000원 결제일할인(청구할인)

이용조건
- 전월 일시불 및 할부 이용금액 30만원 이상 시 제공
- 발급월+1개월까지는 전월 이용금액에 관계없이 제공(연 12회 이용한도에 포함)
- 통합 일 1회, 월 2회, 연 12회 제공(연 기준 : 1.1~12.31)

유의사항
- 현장 결제, 공식 홈페이지 및 앱을 통한 온라인 예매 시 제공됩니다.
- 예매 대행 사이트 이용 시 할인은 적용되지 않습니다.
- 해당 카드 이용 시 카드 혜택 외 삼성카드의 다른 할인 및 적립 혜택은 제공되지 않습니다.
- 할인이 적용된 이용금액에 대해서는 포인트가 적립되지 않습니다. 
- 무이자할부 이용 시 할인 혜택은 적용되지 않습니다.
- 전월 이용금액에서 할인 혜택이 적용된 이용금액(할인금액이 포함된 총 금액), 국세/지방세/공과금, 아파트 관리비, 대학 등록금, 대중교통, 택시, 상품권 구매, 선불카드 충전건은 제외됩니다.",,,,,"서비스안내
SKT·KT·LG U+ 이동통신요금 자동납부 시 10% 결제일할인(청구할인)

이용조건
- 할인한도 : 월 5,000원
- 전월 일시불 및 할부 이용금액 30만원 이상 시 제공
- 발급월+1개월까지는 전월 이용금액에 관계없이 제공(카드 자동납부 연결 필수)

유의사항
- 해당 카드 이용 시 카드 혜택 외 삼성카드의 다른 할인 및 적립 혜택은 제공되지 않습니다.
- 할인이 적용된 이용금액에 대해서는 포인트가 적립되지 않습니다.
- 무이자할부 이용 시 할인 혜택은 적용되지 않습니다.
- 결합상품요금, 휴대전화 단말기 구매금액 및 대리점 카드 결제건은 제외됩니다.
- 전월 이용금액 산정 시, 할인 혜택이 적용된 이용금액(할인금액이 포함된 총 금액), 국세/지방세/공과금, 아파트 관리비, 대학 등록금, 대중교통, 택시, 상품권 구매, 선불카드 충전건은 제외됩니다.",,,"서비스안내
대중교통·택시 10% 결제일할인(청구할인)

대상업종
- 대중교통 : 버스, 지하철(후불교통기능 선택 시 제공되며, 시외·고속버스 제외)
- 택시

이용조건
- 할인한도 : 통합 월 5,000원
- 전월 일시불 및 할부 이용금액 30만원 이상 시 제공
- 발급월+1개월까지는 전월 이용금액에 관계없이 제공

유의사항
- 정상적으로 삼성카드에 접수된 금액 중 순서대로 결제일할인(청구할인)이 적용됩니다.
- 실제 카드 이용일이 아닌 이용대금 명세서 상 기재된 이용일 기준으로 제공됩니다.
- 해당 카드 이용 시 카드 혜택 외 삼성카드의 다른 할인 및 적립 혜택은 제공되지 않습니다.
- 할인이 적용된 이용금액에 대해서는 포인트가 적립되지 않습니다.
- 무이자할부 이용 시 할인 혜택은 적용되지 않습니다.
- 전월 이용금액 산정 시, 할인 혜택이 적용된 이용금액(할인금액이 포함된 총 금액), 국세/지방세/공과금, 아파트 관리비, 대학 등록금, 대중교통, 택시, 상품권 구매, 선불카드 충전건은 제외됩니다."
2669,현대카드 M,현대카드,https://d1c5n4ri2guedi.cloudfront.net/card/2669/card_img/32807/2669card.png,https://card-gorilla.com/card/detail/2669,,,,,,,,,,,,,
49,삼성카드 & MILEAGE PLATINUM (스카이패스),삼성카드,https://d1c5n4ri2guedi.cloudfront.net/card/49/card_img/27705/49card.png,https://card-gorilla.com/card/detail/49,"편의점 이용금액 스카이패스 마일리지 특별적립 서비스
서비스안내
- 편의점 이용금액 1,000원당 스카이패스 2 마일리지 특별적립

대상점
- CU, 세븐일레븐, GS25, 미니스톱 등

적립기준
- 결제건당 삼성카드 접수금액 기준으로 마일리지가 적립되며, 결제금액을 1,000원으로 나눈 후 소수점 이하는 반올림하여 적립

이용조건
- 특별 적립은 '기본 1 마일리지 + 추가 1 마일리지'의 형태로 적립. 월 적립한도 2,000 마일리지(적립한도 초과 시 기본 적립만 적용)

마일리지 적립 제외 대상
- 빅포인트 적립 제외 대상, 삼성카드와 구매캐시백포인트 제공 계약을 체결한 일부 의약품/유류 구매한도 대금결제, 페이백서비스 등의 이용금액
- 빅포인트 적립 제외 대상
· 법인공용카드, 무이자할부, 다이어트할부, 삼성카드 할인이 적용된 일시불 및 할부 이용금액, 고용/산재보험 및 장애인 고용부담금, 국세/지방세/공과금, 대학 등록금, 대중교통, 택시, 고속버스(차내 단말기 및 고속버스 App 결제), 고속도로 통행요금, 선불카드 충전(삼성유포인트카드, 삼성전자 멤버십 BLUE 삼성선불카드, 삼성올앳카드 등), 휴대폰알림서비스(S.InfoCare), 스마트오토서비스, 이마트 이클럽 등의 이용금액
· 빅포인트 적립 제외 대상, 신규사업 등 삼성카드의 영업정책 및 기타 상황 변화에 따라 삼성카드가 정하여 홈페이지 등을 통해 사전에 게시하는 이용건
- 해당 카드는 택시 이용 시에도 마일리지 적립

유의사항
- 삼성카드 가맹점 업종 분류 기준에 의한 등록 가맹점에 한합니다.
- 결제건 접수 후 마일리지 적립까지 약 10일(영업일 기준) 정도 소요됩니다.
- 적립된 마일리지는 기존 스카이패스 마일리지와 합산하여 사용 가능합니다.
- 적립된 마일리지의 사용방법 및 기준은 항공사 마일리지 사용 규정에 따릅니다.
- 자세한 내용은 항공사 홈페이지를 확인 바랍니다.","커피 이용금액 스카이패스 마일리지 특별적립 서비스
서비스안내
- 커피 이용금액 1,000원당 스카이패스 2 마일리지 특별적립

대상점
- 스타벅스, 커피빈, 카페베네, 할리스 등

적립기준
- 결제건당 삼성카드 접수금액 기준으로 마일리지가 적립되며, 결제금액을 1,000원으로 나눈 후 소수점 이하는 반올림하여 적립

이용조건
- 특별 적립은 '기본 1 마일리지 + 추가 1 마일리지'의 형태로 적립. 월 적립한도 2,000 마일리지(적립한도 초과 시 기본 적립만 적용)

마일리지 적립 제외 대상
- 빅포인트 적립 제외 대상, 삼성카드와 구매캐시백포인트 제공 계약을 체결한 일부 의약품/유류 구매한도 대금결제, 페이백서비스 등의 이용금액
- 빅포인트 적립 제외 대상
· 법인공용카드, 무이자할부, 다이어트할부, 삼성카드 할인이 적용된 일시불 및 할부 이용금액, 고용/산재보험 및 장애인 고용부담금, 국세/지방세/공과금, 대학 등록금, 대중교통, 택시, 고속버스(차내 단말기 및 고속버스 App 결제), 고속도로 통행요금, 선불카드 충전(삼성유포인트카드, 삼성전자 멤버십 BLUE 삼성선불카드, 삼성올앳카드 등), 휴대폰알림서비스(S.InfoCare), 스마트오토서비스, 이마트 이클럽 등의 이용금액
· 빅포인트 적립 제외 대상, 신규사업 등 삼성카드의 영업정책 및 기타 상황 변화에 따라 삼성카드가 정하여 홈페이지 등을 통해 사전에 게시하는 이용건
- 해당 카드는 택시 이용 시에도 마일리지 적립

유의사항
- 삼성카드 가맹점 업종 분류 기준에 의한 등록 가맹점에 한합니다.
- 결제건 접수 후 마일리지 적립까지 약 10일(영업일 기준) 정도 소요됩니다.
- 적립된 마일리지는 기존 스카이패스 마일리지와 합산하여 사용 가능합니다.
- 적립된 마일리지의 사용방법 및 기준은 항공사 마일리지 사용 규정에 따릅니다.
- 자세한 내용은 항공사 홈페이지를 확인 바랍니다.",,"주유 이용금액 스카이패스 마일리지 특별적립 서비스
서비스안내
- 주유 이용금액 1,000원당 스카이패스 2 마일리지 특별적립

대상점
- SK에너지, GS칼텍스, 현대오일뱅크, S-OIL, 알뜰주유소 및 LPG충전소 등

적립기준
- 결제건당 삼성카드 접수금액 기준으로 마일리지가 적립되며, 결제금액을 1,000원으로 나눈 후 소수점 이하는 반올림하여 적립

이용조건
- 특별 적립은 '기본 1 마일리지 + 추가 1 마일리지'의 형태로 적립. 월 적립한도 2,000 마일리지(적립한도 초과 시 기본 적립만 적용)

마일리지 적립 제외 대상
- 빅포인트 적립 제외 대상, 삼성카드와 구매캐시백포인트 제공 계약을 체결한 일부 의약품/유류 구매한도 대금결제, 페이백서비스 등의 이용금액
- 빅포인트 적립 제외 대상
· 법인공용카드, 무이자할부, 다이어트할부, 삼성카드 할인이 적용된 일시불 및 할부 이용금액, 고용/산재보험 및 장애인 고용부담금, 국세/지방세/공과금, 대학 등록금, 대중교통, 택시, 고속버스(차내 단말기 및 고속버스 App 결제), 고속도로 통행요금, 선불카드 충전(삼성유포인트카드, 삼성전자 멤버십 BLUE 삼성선불카드, 삼성올앳카드 등), 휴대폰알림서비스(S.InfoCare), 스마트오토서비스, 이마트 이클럽 등의 이용금액
· 빅포인트 적립 제외 대상, 신규사업 등 삼성카드의 영업정책 및 기타 상황 변화에 따라 삼성카드가 정하여 홈페이지 등을 통해 사전에 게시하는 이용건
- 해당 카드는 택시 이용 시에도 마일리지 적립

유의사항
- 삼성카드 가맹점 업종 분류 기준에 의한 등록 가맹점에 한합니다.
- 결제건 접수 후 마일리지 적립까지 약 10일(영업일 기준) 정도 소요됩니다.
- 적립된 마일리지는 기존 스카이패스 마일리지와 합산하여 사용 가능합니다.
- 적립된 마일리지의 사용방법 및 기준은 항공사 마일리지 사용 규정에 따릅니다.
- 자세한 내용은 항공사 홈페이지를 확인 바랍니다.",,,"백화점 이용금액 스카이패스 마일리지 특별적립 서비스
서비스안내
- 백화점 이용금액 1,000원당 스카이패스 2 마일리지 특별적립

대상점
- 신세계/롯데/현대/갤러리아/동아/대구백화점, AK플라자, NC 대전 유성점

적립기준
- 결제건당 삼성카드 접수금액 기준으로 마일리지가 적립되며, 결제금액을 1,000원으로 나눈 후 소수점 이하는 반올림하여 적립

이용조건
- 특별 적립은 '기본 1 마일리지 + 추가 1 마일리지'의 형태로 적립. 월 적립한도 2,000 마일리지(적립한도 초과 시 기본 적립만 적용)

마일리지 적립 제외 대상
- 빅포인트 적립 제외 대상, 삼성카드와 구매캐시백포인트 제공 계약을 체결한 일부 의약품/유류 구매한도 대금결제, 페이백서비스 등의 이용금액
- 빅포인트 적립 제외 대상
· 법인공용카드, 무이자할부, 다이어트할부, 삼성카드 할인이 적용된 일시불 및 할부 이용금액, 고용/산재보험 및 장애인 고용부담금, 국세/지방세/공과금, 대학 등록금, 대중교통, 택시, 고속버스(차내 단말기 및 고속버스 App 결제), 고속도로 통행요금, 선불카드 충전(삼성유포인트카드, 삼성전자 멤버십 BLUE 삼성선불카드, 삼성올앳카드 등), 휴대폰알림서비스(S.InfoCare), 스마트오토서비스, 이마트 이클럽 등의 이용금액
· 빅포인트 적립 제외 대상, 신규사업 등 삼성카드의 영업정책 및 기타 상황 변화에 따라 삼성카드가 정하여 홈페이지 등을 통해 사전에 게시하는 이용건
- 해당 카드는 택시 이용 시에도 마일리지 적립

유의사항
- 삼성카드 가맹점 업종 분류 기준에 의한 등록 가맹점에 한합니다.
- 백화점 내 일부 임대매장 및 식품매장은 제외됩니다.
- 결제건 접수 후 마일리지 적립까지 약 10일(영업일 기준) 정도 소요됩니다.
- 적립된 마일리지는 기존 스카이패스 마일리지와 합산하여 사용 가능합니다.
- 적립된 마일리지의 사용방법 및 기준은 항공사 마일리지 사용 규정에 따릅니다.
- 자세한 내용은 항공사 홈페이지를 확인 바랍니다.",,,,,,
2441,KB국민 My WE:SH 카드,KB국민카드,https://d1c5n4ri2guedi.cloudfront.net/card/2441/card_img/37123/2441card_3.png,https://card-gorilla.com/card/detail/2441,,,"음식점, 편의점 10% 할인
- 음식점(한식, 일식, 중식, 양식, 뷔페, 패밀리레스토랑, 일반음식점 업종), 편의점(GS25, CU)
※ 백화점/대형마트 등 일부 입점 매장 제외",,,,,,,"이동통신요금 10% 할인
- SKT, KT, LG U+, Liiv M 이동통신 자동납부 요금
※ 인터넷, IPTV 등 결합상품 제외",,,
2261,LOCA LIKIT 1.2,롯데카드,https://d1c5n4ri2guedi.cloudfront.net/card/2261/card_img/21011/2261card.png,https://card-gorilla.com/card/detail/2261,,,,,,,"온라인 1.5% 결제일 할인
- 실적조건 및 할인한도 없이 혜택을 제공합니다.",,,,,,
2553,카드의정석 EVERY MILE SKYPASS,우리카드,https://d1c5n4ri2guedi.cloudfront.net/card/2553/card_img/36834/2553card.png,https://card-gorilla.com/card/detail/2553,,,,,,,,,,,,,
2346,BC 바로 클리어 플러스,BC 바로카드,https://d1c5n4ri2guedi.cloudfront.net/card/2346/card_img/32523/2346card.png,https://card-gorilla.com/card/detail/2346,"[라이프스타일 할인 10%]
편의점 10% 할인
- CU, GS25, 이마트24, 세븐일레븐
* 현장 결제건에 한함 (온라인 결제건 제외)
※ 전월실적과 할인한도는 하단의 유의사항을 통해 확인하여 주시기 바랍니다.",,"[매일 할인 7%]
점심식사 7% 할인
- 전국 모든 식당 (오전 11시~오후 2시)
* 1만원 이상 결제건에 한함
* 일반 음식 업종(식당 및 레스토랑)에 한하며, 호프, 주점 등 주류 업종 제외
※ 전월실적과 할인한도는 하단의 유의사항을 통해 확인하여 주시기 바랍니다.",,,,"[라이프스타일 할인 10%]
온라인쇼핑 10% 할인
- 쿠팡, 티몬, 위메프, G마켓, 옥션, 11번가, SSG.COM
※ 전월실적과 할인한도는 하단의 유의사항을 통해 확인하여 주시기 바랍니다.",,,"[라이프스타일 할인 10%]
통신 10% 할인
- KT/SKT/LGU+ 휴대폰요금 자동이체
* 대상 통신사에 자동납부 신청 후 결제된 건에 한함
※ 전월실적과 할인한도는 하단의 유의사항을 통해 확인하여 주시기 바랍니다.",,,"[매일 할인 7%]
대중교통 7% 할인
- 시내버스, 지하철
※ 전월실적과 할인한도는 하단의 유의사항을 통해 확인하여 주시기 바랍니다."
2759,신한카드 처음(ANNIVERSE),신한카드,https://d1c5n4ri2guedi.cloudfront.net/card/2759/card_img/37240/2759card.png,https://card-gorilla.com/card/detail/2759,,,,,,,,,,,,,
2657,JADE Classic,하나카드,https://d1c5n4ri2guedi.cloudfront.net/card/2657/card_img/32434/2657card.png,https://card-gorilla.com/card/detail/2657,,"커피 이용금액 50% 하나머니 적립 제공
- 지난달 실적 50만원 이상, 월 적립 한도 5천 하나머니
영역 적립 대상 가맹점 적립률
적립 한도
커피
스타벅스 50% 5천 하나머니
- 스타벅스 오프라인 결제, 공식앱 또는 공식 홈페이지를 통한 주문 및 결제에 한하여 서비스가 제공되며, 별개의 배달앱 혹은 식당 예약앱을 통한 결제는 서비스 제외됨
- 대형시설물(백화점, 할인점, 아울렛, 쇼핑몰, 휴게소, 공항, 호텔, 리조트, 역사, 마트) 입점 점포 및 임대 매장은 서비스 제외됨",,,,,,,,,,,
