transaction_id,datetime,category_id,category_name,store_name,amount,card_name,card_type,transaction_type,member_id
1,2019-01-01 00:00:00,14,교통(대중),기후동행카드,55000,우리카드 DA@카드의정석,체크카드,정기결제,4
2,2019-01-01 00:01:00,13,통신,KT,50000,KB국민 노리2 체크카드(KB Pay),체크카드,정기결제,4
3,2019-01-01 05:58:00,6,마트,마켓컬리,102300,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
4,2019-01-01 13:04:00,2,카페/디저트,커피빈,16800,우리카드 DA@카드의정석,신용카드,일반결제,4
5,2019-01-01 15:43:00,2,카페/디저트,스타벅스,4000,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
6,2019-01-01 22:16:00,7,쇼핑,ABC마트,189800,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
7,2019-01-02 08:01:00,3,외식,김밥천국,30900,우리카드 DA@카드의정석,신용카드,일반결제,4
8,2019-01-03 01:03:00,5,영화/문화,에버랜드,14700,우리카드 DA@카드의정석,신용카드,일반결제,4
9,2019-01-03 02:39:00,3,외식,채선당,30300,우리카드 DA@카드의정석,신용카드,일반결제,4
10,2019-01-03 03:37:00,3,외식,역전할머니맥주,46500,신한카드 Hey Young 체크,체크카드,일반결제,4
11,2019-01-03 20:06:00,3,외식,역전할머니맥주,19100,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
12,2019-01-03 23:29:00,2,카페/디저트,컴포즈커피,10300,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
13,2019-01-03 23:46:00,9,교육/육아,서점,26800,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
14,2019-01-04 10:03:00,3,외식,김밥천국,25600,우리카드 DA@카드의정석,신용카드,일반결제,4
15,2019-01-04 15:09:00,7,쇼핑,롯데백화점,54000,우리카드 DA@카드의정석,신용카드,일반결제,4
16,2019-01-04 15:28:00,4,주유,GS칼텍스,44500,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
17,2019-01-04 16:08:00,1,편의점,CU,3300,신한카드 Hey Young 체크,체크카드,일반결제,4
18,2019-01-05 19:02:00,2,카페/디저트,스타벅스,11000,신한카드 Hey Young 체크,체크카드,일반결제,4
19,2019-01-06 00:59:00,12,기타,올리브영,7500,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
20,2019-01-06 16:24:00,1,편의점,세븐일레븐,5000,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
21,2019-01-06 17:55:00,5,영화/문화,캐리비안베이,23500,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
22,2019-01-07 01:11:00,5,영화/문화,CGV,12300,신한카드 Hey Young 체크,체크카드,일반결제,4
23,2019-01-07 10:08:00,5,영화/문화,메가박스,24800,우리카드 DA@카드의정석,신용카드,일반결제,4
24,2019-01-07 10:13:00,2,카페/디저트,컴포즈커피,11400,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
25,2019-01-08 06:21:00,1,편의점,GS25,4600,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
26,2019-01-08 07:22:00,2,카페/디저트,메가커피,8200,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
27,2019-01-08 11:46:00,8,병원,약국,11900,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
28,2019-01-08 18:36:00,2,카페/디저트,컴포즈커피,4700,신한카드 Hey Young 체크,체크카드,일반결제,4
29,2019-01-09 01:44:00,11,여행/숙박,KTX,61600,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
30,2019-01-09 09:30:00,5,영화/문화,롯데월드,26100,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
31,2019-01-09 16:23:00,12,기타,미용실,94400,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
32,2019-01-10 08:02:00,3,외식,원할머니보쌈,20400,우리카드 DA@카드의정석,신용카드,일반결제,4
33,2019-01-10 14:19:00,12,기타,미용실,65000,신한카드 Hey Young 체크,체크카드,일반결제,4
34,2019-01-12 06:55:00,2,카페/디저트,컴포즈커피,5900,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
35,2019-01-12 20:15:00,1,편의점,미니스톱,7300,신한카드 Hey Young 체크,체크카드,일반결제,4
36,2019-01-12 22:08:00,2,카페/디저트,할리스,13600,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
37,2019-01-14 11:53:00,3,외식,역전할머니맥주,12500,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
38,2019-01-15 14:48:00,2,카페/디저트,할리스,8700,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
39,2019-01-17 11:09:00,2,카페/디저트,메가커피,6300,신한카드 Hey Young 체크,체크카드,일반결제,4
40,2019-01-17 13:04:00,10,자동차/하이패스,경부고속도로,9100,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
41,2019-01-18 17:41:00,2,카페/디저트,커피빈,6000,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
42,2019-01-19 17:39:00,5,영화/문화,캐리비안베이,18300,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
43,2019-01-20 05:47:00,2,카페/디저트,투썸,8900,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
44,2019-01-20 10:38:00,1,편의점,미니스톱,5900,신한카드 Hey Young 체크,체크카드,일반결제,4
45,2019-01-21 12:01:00,2,카페/디저트,카페베네,11300,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
46,2019-01-22 09:40:00,2,카페/디저트,투썸,17200,우리카드 DA@카드의정석,신용카드,일반결제,4
47,2019-01-22 14:55:00,2,카페/디저트,커피빈,12900,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
48,2019-01-25 12:08:00,1,편의점,이마트24,5300,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
49,2019-01-26 10:49:00,1,편의점,CU,2100,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
50,2019-01-26 18:44:00,2,카페/디저트,카페베네,8900,우리카드 DA@카드의정석,신용카드,일반결제,4
51,2019-01-27 07:40:00,1,편의점,이마트24,7400,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
52,2019-02-01 00:00:00,14,교통(대중),기후동행카드,55000,KB국민 노리2 체크카드(KB Pay),체크카드,정기결제,4
53,2019-02-01 00:01:00,13,통신,KT,50000,IBK 일상의 기쁨카드(신용),체크카드,정기결제,4
54,2019-02-01 01:28:00,2,카페/디저트,컴포즈커피,10600,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
55,2019-02-01 14:07:00,3,외식,원할머니보쌈,8800,우리카드 DA@카드의정석,신용카드,일반결제,4
56,2019-02-01 18:09:00,7,쇼핑,유니클로,76900,신한카드 Hey Young 체크,체크카드,일반결제,4
57,2019-02-02 01:34:00,7,쇼핑,ABC마트,95600,신한카드 Hey Young 체크,체크카드,일반결제,4
58,2019-02-02 02:30:00,5,영화/문화,예술의전당,12300,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
59,2019-02-02 05:14:00,2,카페/디저트,스타벅스,16100,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
60,2019-02-02 16:08:00,2,카페/디저트,투썸,12600,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
61,2019-02-03 06:58:00,1,편의점,CU,9500,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
62,2019-02-03 17:57:00,5,영화/문화,에버랜드,26500,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
63,2019-02-03 23:49:00,5,영화/문화,에버랜드,23900,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
64,2019-02-04 00:49:00,12,기타,철물점,18800,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
65,2019-02-04 17:56:00,3,외식,투다리,49600,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
66,2019-02-04 20:44:00,2,카페/디저트,컴포즈커피,10900,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
